upload_date,0,1,2,3,4,5,6,7,8,9,10
2021-11-13,16,14,5,4,4,4,1,1,1,1,0
2021-11-12,48,28,25,25,21,14,8,5,3,3,3
2021-11-11,34,15,11,10,7,3,2,2,2,2,1
2021-11-10,42,27,22,19,14,10,8,6,2,1,0
2021-11-09,21,12,8,8,8,6,4,4,3,2,2
2021-11-08,15,11,10,9,8,6,4,4,1,0,0
2021-11-07,16,10,10,8,8,7,4,3,2,1,0
2021-11-06,16,10,5,4,3,3,3,3,2,1,0
2021-11-05,25,17,12,11,9,4,3,2,2,1,1
2021-11-04,32,12,8,8,6,5,2,2,1,1,1
2021-11-03,33,17,14,12,7,6,5,3,2,0,0
2021-11-02,19,12,11,9,7,6,5,2,2,2,0
2021-11-01,8,3,3,2,2,2,1,1,0,0,0
2021-10-31,13,7,8,6,5,4,3,2,1,0,0
2021-10-30,11,5,4,4,3,3,3,2,2,2,1
2021-10-29,23,17,17,15,11,6,3,0,0,0,0
2021-10-28,21,11,10,8,5,3,2,1,0,0,0
2021-10-27,18,1,1,1,1,0,0,0,0,0,0
2021-10-26,28,15,14,12,10,6,4,3,1,1,0
2021-10-25,12,5,4,3,3,2,1,1,1,1,1
2021-10-24,5,2,1,1,1,1,1,1,1,0,0
2021-10-23,7,2,1,1,1,1,1,1,1,1,0
2021-10-22,23,7,6,6,5,5,4,0,0,0,0
2021-10-21,7,5,4,4,4,4,3,1,0,0,0
2021-10-20,23,18,13,10,8,7,1,1,0,0,0
2021-10-19,21,10,8,8,5,4,3,3,3,3,2
2021-10-18,15,6,5,4,4,3,1,0,0,0,0
2021-10-17,11,0,0,0,0,0,0,0,0,0,0
2021-10-16,7,3,3,3,3,2,2,0,0,0,0
2021-10-15,14,10,8,7,6,5,1,0,0,0,0
2021-10-14,15,5,4,4,4,1,1,0,0,0,0
2021-10-13,8,6,5,5,3,1,1,1,0,0,0
2021-10-12,4,4,1,1,0,0,0,0,0,0,0
2021-10-11,4,1,1,1,1,1,1,0,0,0,0
2021-10-10,2,0,0,0,0,0,0,0,0,0,0
2021-10-09,5,2,0,0,0,0,0,0,0,0,0
2021-10-08,18,9,8,8,5,4,3,2,0,0,0
2021-10-07,9,2,2,2,2,1,0,0,0,0,0
2021-10-06,9,5,4,4,3,1,0,0,0,0,0
2021-10-05,17,9,9,8,7,6,3,3,3,3,2
2021-10-04,12,3,2,2,1,0,0,0,0,0,0
2021-10-03,5,1,1,1,1,1,1,0,0,0,0
2021-10-02,9,5,5,5,5,5,3,3,2,1,2
2021-10-01,14,4,2,2,2,2,2,2,1,0,0
2021-09-30,23,6,4,4,3,2,1,1,1,0,0
2021-09-29,10,5,5,4,3,2,1,1,1,1,0
2021-09-28,17,3,3,2,1,0,0,0,0,0,0
2021-09-27,12,3,3,3,3,2,0,0,0,0,0
2021-09-26,8,4,1,1,1,0,0,0,0,0,0
2021-09-25,7,4,2,1,1,1,1,0,0,0,0
2021-09-24,14,7,6,6,6,5,4,2,2,2,2
2021-09-23,18,12,10,8,5,4,4,3,3,3,1
2021-09-22,22,9,8,7,6,4,4,4,2,1,1
2021-09-21,14,10,7,7,5,3,1,1,0,0,0
2021-09-20,18,6,5,5,5,5,1,0,0,0,0
2021-09-19,4,7,2,2,1,1,0,0,0,0,0
2021-09-18,16,13,8,8,7,5,2,2,2,2,1
2021-09-17,17,14,12,9,9,6,3,1,0,0,0
2021-09-16,22,14,12,8,6,4,3,3,3,3,3
2021-09-15,14,7,6,6,5,3,3,1,1,1,0
2021-09-14,26,13,11,9,7,7,6,3,1,0,0
2021-09-13,17,10,9,8,6,6,2,2,0,0,0
2021-09-12,18,7,5,4,3,2,1,0,0,0,0
2021-09-11,22,9,8,7,3,2,1,0,0,0,0
2021-09-10,17,8,5,5,5,3,1,0,0,0,0
2021-09-09,29,19,13,11,7,4,1,1,1,1,0
2021-09-08,16,10,7,6,5,5,4,3,3,0,0
2021-09-07,32,13,11,10,9,9,5,1,1,0,0
2021-09-06,18,11,9,9,8,6,4,1,0,0,0
2021-09-05,13,11,7,5,4,3,2,2,1,1,0
2021-09-04,27,13,11,8,5,3,2,2,1,0,0
2021-09-03,22,14,11,10,9,8,4,2,0,0,0
2021-09-02,28,12,12,10,10,9,4,3,2,1,0
2021-09-01,33,20,16,14,12,9,8,7,5,2,1
2021-08-31,40,15,14,12,11,10,7,4,4,3,2
2021-08-30,41,15,13,11,10,8,5,4,2,0,0
2021-08-29,22,16,10,9,9,6,3,1,1,1,1
2021-08-28,33,19,14,13,10,7,6,5,3,2,2
2021-08-27,71,33,30,24,21,16,14,10,7,5,5
2021-08-26,45,18,13,11,9,8,5,3,2,1,1
2021-08-25,79,35,30,21,18,15,10,3,2,1,1
2021-08-24,66,22,19,18,14,11,7,6,3,2,1
2021-08-23,61,28,21,20,15,11,10,8,4,2,1
2021-08-22,35,12,8,5,5,3,3,2,2,1,1
