,common_teks_fraction,common_teks_fraction,common_teks_fraction,common_teks_fraction,common_teks_fraction,common_teks_fraction,common_teks_fraction,common_teks_fraction
region_x,CH,DE,DE@ES,EE,ES,EU@ES,IT@ES,MT
region_y,,,,,,,,
CH,,0.013160213206466676,0.0,0.0,0.0,0.0,0.0,0.0
DE,0.8481192334989354,,0.9976706005724649,0.0,0.841304347826087,0.8619902499419639,0.010091743119266056,0.5579502699165713
DE@ES,0.0,0.639112814413462,,0.0,0.0,0.6430340146582505,0.0,0.4251594961557337
EE,0.0,0.0,0.0,,0.0,0.003885652380583898,0.0,0.0
ES,0.0,0.0021309633936830974,0.0,0.0,,0.0025425321409226075,0.0,0.001622225857462239
EU@ES,0.0,0.8587341967314215,1.0,0.4523809523809524,1.0,,1.0,0.6797535307268663
IT@ES,0.0,6.057001894189683e-05,0.0,0.0,0.0,0.006024695725229657,,0.004335023719941109
MT,0.0,0.2253700277520814,0.26807863227292655,0.0,0.25869565217391305,0.27561048407601063,0.29174311926605506,
