,shared_teks_by_generation_date,shared_teks_by_generation_date,shared_teks_by_generation_date,shared_teks_by_generation_date,shared_teks_by_generation_date,shared_teks_by_generation_date,shared_teks_by_generation_date
region,CH,DE,DE@ES,ES,EU@ES,IT@ES,MT
sample_date,,,,,,,
2022-01-20,378,0,0,110,0,0,4452
2022-01-19,1649,30175,0,708,0,0,6092
2022-01-18,2419,59772,0,925,0,309,6139
2022-01-17,2961,69173,0,1334,0,611,6151
2022-01-16,3060,70114,0,1257,0,904,6461
2022-01-15,3217,85169,0,1514,0,1014,6481
2022-01-14,3539,99942,0,1625,0,1270,6541
2022-01-13,3658,110852,158,2205,0,1622,6598
2022-01-12,4088,120455,20729,2155,13514,2155,6599
2022-01-11,4250,121995,37924,2376,41572,2487,6944
2022-01-10,3737,111839,41404,1974,50357,2569,6942
2022-01-09,2825,100990,34330,1322,44134,2914,6933
2022-01-08,2103,102316,0,0,0,0,6932
2022-01-07,1460,104337,0,0,0,0,6927
